gender,city_category,occupation,stay_years,marital_status,purchase_amount,quantity,product_category,payment_method,age_group
F,B,13,0,1,214.98,3,Roupas,Cartao_Debito,51-55
M,A,15,3,1,924.88,2,Esportes,Cartao_Credito,51-55
F,B,5,1,1,556.73,1,Roupas,Cartao_Credito,36-45
F,A,7,3,0,224.62,1,Beleza,Dinheiro,18-25
M,A,19,2,1,486.48,2,Esportes,Cartao_Credito,55+
F,B,17,1,0,1450.62,2,Casa,Cartao_Credito,51-55
F,B,8,2,0,1013.73,5,Roupas,Cartao_Credito,46-50
F,C,5,0,1,296.6,4,Alimentos,Boleto,46-50
M,C,6,3,0,263.17,4,Eletronicos,Dinheiro,26-35
M,C,11,1,0,428.43,4,Esportes,PIX,51-55
M,C,11,1,0,365.29,5,Esportes,Cartao_Debito,36-45
F,C,3,0,0,828.69,2,Roupas,Cartao_Credito,18-25
F,A,1,1,1,628.76,1,Roupas,Cartao_Credito,18-25
F,B,10,1,0,146.15,3,Beleza,Cartao_Debito,26-35
M,A,16,1,0,531.24,1,Alimentos,Cartao_Debito,46-50
M,A,3,4,1,362.33,2,Eletronicos,Cartao_Credito,36-45
F,A,8,1,0,412.51,4,Beleza,Dinheiro,36-45
M,C,3,0,1,468.42,3,Roupas,Cartao_Credito,26-35
F,C,5,2,0,828.19,4,Beleza,Dinheiro,26-35
F,C,12,1,0,725.37,3,Beleza,Cartao_Debito,36-45
F,C,6,2,1,257.28,3,Roupas,Cartao_Debito,18-25
M,C,5,3,1,389.49,2,Eletronicos,Dinheiro,26-35
F,A,20,0,0,308.24,2,Casa,Cartao_Debito,55+
F,C,3,2,0,147.07,2,Beleza,Dinheiro,18-25
F,C,3,0,1,377.8,4,Roupas,Dinheiro,26-35
M,C,19,0,1,1220.3,5,Casa,Boleto,46-50
M,A,11,0,1,144.43,1,Esportes,Dinheiro,51-55
M,A,0,0,0,397.65,3,Eletronicos,Cartao_Credito,18-25
M,C,8,1,1,390.07,3,Eletronicos,PIX,36-45
F,A,11,4,0,479.45,3,Beleza,Cartao_Debito,46-50
F,B,5,4,0,226.41,2,Casa,PIX,26-35
F,B,11,0,0,171.56,1,Alimentos,PIX,36-45
M,A,13,4,0,176.42,2,Eletronicos,Cartao_Credito,26-35
M,A,5,3,1,896.56,1,Alimentos,Cartao_Credito,51-55
M,C,17,2,0,223.72,1,Alimentos,PIX,51-55
M,C,9,3,1,298.95,2,Alimentos,Cartao_Debito,46-50
M,C,20,2,1,1426.22,4,Esportes,Boleto,55+
M,A,1,1,1,259.68,5,Eletronicos,Dinheiro,36-45
M,A,6,2,1,495.44,4,Alimentos,Cartao_Credito,46-50
F,B,15,3,0,763.79,1,Beleza,Cartao_Credito,51-55
M,B,18,3,1,742.06,2,Casa,Cartao_Debito,51-55
F,A,4,0,0,181.46,2,Beleza,Cartao_Credito,26-35
F,C,20,4,0,262.96,2,Casa,Dinheiro,51-55
M,C,4,1,0,483.68,5,Eletronicos,Dinheiro,26-35
F,B,8,4,1,1283.58,4,Roupas,Cartao_Credito,46-50
F,B,6,1,0,255.47,3,Roupas,PIX,0-17
M,B,8,0,1,300.01,3,Esportes,Cartao_Debito,46-50
M,A,18,4,0,518.92,2,Esportes,Cartao_Credito,55+
F,A,15,2,1,585.11,3,Alimentos,Cartao_Credito,55+
M,B,16,1,1,606.77,4,Eletronicos,Cartao_Credito,55+
M,B,5,0,1,242.79,5,Alimentos,Boleto,26-35
M,B,19,0,1,293.18,3,Casa,Dinheiro,51-55
F,C,9,0,1,459.11,1,Roupas,Cartao_Debito,51-55
F,A,13,4,1,860.39,5,Roupas,Cartao_Credito,51-55
F,A,14,0,0,349.64,2,Casa,Cartao_Credito,51-55
F,A,13,0,0,398.07,1,Casa,Cartao_Credito,51-55
M,A,12,4,1,217.99,3,Esportes,PIX,55+
F,B,10,4,0,1233.9,4,Casa,Cartao_Credito,36-45
M,C,13,1,1,442.55,2,Eletronicos,Cartao_Debito,55+
M,C,19,3,1,770.2,2,Eletronicos,Cartao_Credito,55+
F,B,8,2,1,410.73,2,Beleza,Cartao_Credito,51-55
M,B,10,2,0,424.61,5,Esportes,PIX,46-50
F,A,3,1,0,163.99,5,Roupas,Boleto,18-25
F,B,7,3,1,111.0,5,Beleza,PIX,46-50
F,B,16,4,0,855.04,2,Alimentos,Boleto,46-50
F,C,13,3,1,422.77,5,Roupas,PIX,55+
F,B,4,4,0,456.62,2,Roupas,Cartao_Debito,26-35
M,A,11,0,0,190.67,5,Esportes,Dinheiro,46-50
M,A,17,3,0,234.67,5,Casa,Cartao_Credito,46-50
M,A,2,4,0,763.09,4,Eletronicos,Cartao_Credito,18-25
M,C,1,2,1,1146.06,5,Beleza,Boleto,18-25
M,A,8,4,1,277.89,1,Roupas,PIX,46-50
F,A,13,1,0,603.59,4,Beleza,Dinheiro,46-50
M,A,6,4,1,452.15,1,Esportes,Cartao_Credito,46-50
M,C,17,4,0,375.28,4,Esportes,Dinheiro,51-55
M,B,17,3,1,1225.59,2,Alimentos,Cartao_Credito,55+
M,B,11,3,1,307.38,5,Esportes,PIX,51-55
F,B,7,2,1,849.31,3,Casa,Dinheiro,46-50
F,A,0,1,1,507.17,4,Beleza,Cartao_Credito,26-35
F,C,17,2,1,399.36,2,Roupas,Dinheiro,55+
F,A,18,4,0,918.93,1,Casa,Cartao_Debito,51-55
M,A,9,0,0,480.14,4,Esportes,Dinheiro,18-25
F,B,10,1,1,380.75,2,Beleza,Cartao_Credito,51-55
M,A,15,2,1,923.03,4,Alimentos,Cartao_Credito,55+
M,A,14,1,1,853.68,3,Alimentos,PIX,51-55
M,C,2,3,1,829.79,5,Eletronicos,PIX,18-25
F,B,14,1,0,39.15,2,Alimentos,PIX,51-55
M,A,19,3,0,525.37,3,Eletronicos,Cartao_Credito,55+
M,B,15,0,1,458.18,4,Casa,Cartao_Credito,55+
M,C,10,1,0,395.08,4,Alimentos,Boleto,46-50
M,A,10,3,0,581.65,1,Esportes,Cartao_Credito,51-55
F,A,5,2,1,471.7,4,Brinquedos,PIX,36-45
M,B,13,3,0,605.88,3,Esportes,Cartao_Credito,36-45
M,B,5,3,1,343.51,5,Esportes,Cartao_Credito,46-50
M,C,7,1,1,991.19,4,Casa,PIX,51-55
F,B,5,2,0,643.79,4,Eletronicos,PIX,26-35
M,A,7,4,1,558.65,2,Casa,Cartao_Credito,26-35
M,B,7,4,1,542.52,2,Casa,Cartao_Credito,51-55
M,B,1,0,1,807.84,4,Brinquedos,Cartao_Debito,36-45
